Agresh bear	bear	16
Agresh troll chieftain	chieftain	20
Agresh troll scout	scout	14
Agresh troll warrior	warrior	16
Behemothic gorefrost golem	golem	104
Colossal boreal undansormr	undansormr	111
Eyeless black valravn	valravn	112
Grim gigas skald	skald	105
Grimswarm	Grimswarm	\N
Grimswarm giant skirmisher	skirmisher	\N
Grimswarm orc archer	archer	\N
Grimswarm orc hunter	hunter	\N
Grimswarm orc pillager	pillager	\N
Grimswarm orc raider	raider	\N
Grimswarm orc ranger	ranger	\N
Grimswarm orc skirmisher	skirmisher	\N
Grimswarm orc sorceress	sorceress	\N
Grimswarm troll ranger	ranger	\N
Grimswarm troll scourge	scourge	\N
Grimswarm troll skirmisher	skirmisher	\N
Grimswarm troll soldier	soldier	\N
Illoke elder	elder	86
Illoke jarl	jarl	89
Illoke mystic	mystic	62
Illoke shaman	shaman	67
Ilvari pixie	pixie	74
Ilvari sprite	sprite	72
Ithzir adept	adept	96
Ithzir champion	champion	102
Ithzir herald	herald	92
Ithzir initiate	initiate	91
Ithzir janissary	janissary	92
Ithzir scout	scout	89
Ithzir seer	seer	97
Quivering sanguine ooze	ooze	107
Quivering sanguine oozeling	oozeling	\N
Roiling crimson angargeist	angargeist	110
Sheruvian harbinger	harbinger	63
Sheruvian initiate	initiate	37
Sheruvian monk	monk	41
Sheruvian priest	Sheruvian priest	44
Sheruvian warlock	Sheruvian warlock	44
Shining winged disir	disir	114
Squamous reptilian mutant	mutant	109
Vvrael destroyer	destroyer	108
Vvrael warlock	warlock	84
Vvrael witch	witch	80
Withered shadow-cloaked draugr	draugr	108
aivren	aivren	86
albino tomb spider	spider	8
algae-draped merrow oracle	oracle	115
amaranthine kraken tentacle	tentacle	113
ancient ghoul master	master	21
animated slush	slush	54
arachne acolyte	acolyte	23
arachne priest	priest	26
arachne servant	servant	21
arch wight	wight	20
arctic manticore	manticore	29
arctic puma	puma	15
arctic titan	titan	36
arctic wolverine	wolverine	24
ash guardian	guardian	87
ash hag	hag	31
ashen patrician vampire	vampire	107
athletic dark-eyed incubus	incubus	68
baesrukha	baesrukha	42
banded rattlesnake	rattlesnake	16
bandit	bandit	\N
banshee	banshee	50
barbed cavern urchin	urchin	17
barghest	barghest	35
battle-worn empyrean captain	captain	120
bent being	being	82
big ugly kobold	kobold	2
bighorn sheep	sheep	18
black bear	bear	16
black boar	boar	14
black forest ogre	ogre	60
black forest viper	viper	59
black leopard	leopard	15
black panther	black panther	17
black rolton	rolton	1
black urgh	black urgh	4
black-winged daggerbeak	daggerbeak	1
blackened decaying tumbleweed	tumbleweed	39
blazing red phoenix	phoenix	90
bloated kiramon broodtender	broodtender	112
blood eagle	eagle	7
bloody halfling cannibal	cannibal	101
blubbery humpbacked merrow	merrow	111
bobcat	bobcat	5
bog spectre	spectre	47
bog troll	troll	35
bog wight	wight	44
bog wraith	wraith	41
bone golem	golem	8
bony tenthsworn occultist	occultist	59
brackish bilge mass	mass	104
branded goliath diviner	diviner	115
brawny gigas shield-maiden	shield-maiden	106
bresnahanini rolton	rolton	3
bristly black tapir	tapir	29
brown boar	boar	14
brown gak	gak	2
brown spinner	spinner	9
burly goliath engineer	engineer	115
burly reiver	reiver	24
cadaverous tatterdemalion ghast	ghast	101
caedera	caedera	82
carceris	carceris	25
caribou	caribou	32
carrion worm	worm	1
cave bear	bear	21
cave gnoll	gnoll	3
cave gnome	gnome	2
cave lizard	lizard	18
cave nipper	nipper	3
cave troll	troll	16
cave worm	worm	10
centaur	centaur	23
centaur ranger	centaur ranger	25
chitinous kiramon myrmidon	myrmidon	102
cinder wasp	wasp	46
cinereous chthonian sybil	cinereous chthonian sybil	120
cloud sprite bully	bully	32
cloud sprite meddler	meddler	27
cobra	cobra	4
cockatrice	cockatrice	6
coconut crab	crab	2
cold guardian	guardian	34
colossus vulture	vulture	34
cook's assistant	cook's assistant	28
corpulent kresh ravager	ravager	106
cougar	cougar	22
coyote	coyote	5
crackling lightning fiend	fiend	79
crazed canine	canine	10
crazed zombie	zombie	23
crested basilisk	basilisk	22
crocodile	crocodile	9
crystal crab	crab	8
crystal golem	golem	12
csetairi	csetairi	81
cyclops	cyclops	27
dark apparition	apparition	5
dark frosty plant	plant	45
dark orc	orc	12
dark panther	panther	22
dark shambler	shambler	17
dark vortece	vortece	42
dark vysan	vysan	3
darken	darken	28
darkly inked fetish master	master	104
darkwoode	darkwoode	13
death dirge	dirge	9
deathsworn fanatic	fanatic	98
decaying citadel guardsman	guardsman	56
deranged sentry	sentry	13
desiccated half-krolvin strigoi	strigoi	61
dhu goleras	goleras	78
direbear	direbear	65
disfigured hive thrall	thrall	104
dobrem	dobrem	28
dreadnought raptor	raptor	43
dust beetle	dust beetle	36
dybbuk	dybbuk	48
earth elemental	elemental	82
ebon swine	swine	\N
eidolon	eidolon	55
elder ghoul master	master	18
elder tree spirit	spirit	30
emaciated hierophant	hierophant	66
enormous mosquito	mosquito	22
enormous rift crawler	crawler	103
ethereal mage apprentice	apprentice	54
ethereal triton psionicist	psionicist	103
ethereal triton sentry	sentry	103
fallen crusader	crusader	97
fanged goblin	goblin	2
fanged rodent	rodent	1
fanged viper	viper	4
farlook	farlook	77
fenghai	fenghai	23
festering taint	taint	86
fire ant	ant	1
fire cat	cat	18
fire elemental	elemental	60
fire giant	giant	36
fire guardian	guardian	16
fire mage	mage	71
fire ogre	ogre	28
fire rat	rat	16
fire salamander	salamander	3
fire sprite	sprite	64
firebird	firebird	85
firephantom	firephantom	6
firethorn shoot	shoot	44
flayed gigas disciple	disciple	113
flesh golem	golem	50
flickering mist-wreathed banshee	banshee	102
forest bendith	bendith	40
forest ogre	ogre	17
forest trali	trali	44
forest trali shaman	shaman	46
forest troll	troll	14
frenzied monk	monk	27
frost giant	giant	38
frozen corpse	corpse	42
fulminating stormborn primordial	primordial	109
garish revenant buccaneer	buccaneer	108
gaudy phantasmic conjurer	conjurer	106
gaunt feral selkie	selkie	57
gaunt spectral servant	servant	44
ghost	ghost	2
ghost wolf	wolf	16
ghostly mara	mara	32
ghostly pooka	pooka	33
ghostly warrior	warrior	18
ghoul master	master	16
giant albino scorpion	scorpion	24
giant albino tomb spider	spider	30
giant ant	ant	1
giant fog beetle	beetle	32
giant hawk-owl	hawk-owl	28
giant marmot	marmot	10
giant rat	rat	1
giant veaba	veaba	17
giant weasel	weasel	14
gigantic lightning whelk	whelk	107
glacial morph	morph	56
glistening cerebralite	cerebralite	100
gnarled being	being	82
gnoll guard	guard	17
gnoll jarl	gnoll jarl	25
gnoll miner	gnoll miner	10
gnoll priest	gnoll priest	20
gnoll ranger	ranger	15
gnoll thief	thief	13
gnoll worker	worker	10
goblin	goblin	2
great boar	boar	10
great brown bear	bear	14
great stag	stag	13
greater bog troll	troll	39
greater burrow orc	orc	8
greater construct	construct	96
greater earth elemental	elemental	88
greater faeroth	faeroth	50
greater fetid corpse	corpse	42
greater ghoul	ghoul	3
greater ice giant	giant	46
greater ice spider	spider	3
greater kappa	kappa	7
greater krynch	krynch	84
greater moor wight	wight	39
greater orc	orc	8
greater skayl	skayl	81
greater spider	spider	8
greater vruul	greater vruul	75
greater water elemental	elemental	105
greenwing hornet	hornet	18
gremlock	gremlock	84
grey orc	orc	14
grey-plumed steelwing harpy	harpy	111
grifflet	grifflet	64
grisly corpse hulk	hulk	55
grizzly bear	bear	38
grutik savage	savage	27
grutik shaman	shaman	29
haggard veiki herald	herald	85
hapless charmed corsair	corsair	105
heavily armored battle mastodon	mastodon	102
hill troll	troll	16
hisskra chieftain	chieftain	34
hisskra shaman	shaman	33
hisskra warrior	warrior	30
hobgoblin	hobgoblin	3
hobgoblin acolyte	acolyte	7
hobgoblin shaman	shaman	7
hooded figure	figure	30
horned basalt grotesque	grotesque	105
horned vor'taz	vor'taz	48
huge air elemental	elemental	95
huge earth elemental	elemental	95
huge fire elemental	elemental	99
huge ice elemental	elemental	95
huge jungle toad	toad	25
huge lava elemental	elemental	100
