# survival	elapsed_s	outcome
0	1.48	crossed
0	1.53	fell
0	11.79	crossed
0	2.67	crossed
0	3.89	crossed
0	1.29	fell
0	10.37	crossed
0	1.94	fell
0	11.65	crossed
0	1.71	crossed
0	3.15	crossed
0	3.04	crossed
0	3.46	crossed
0	4.11	crossed
0	3.41	crossed
0	2.82	crossed
0	4.05	crossed
0	1.97	crossed
0	2.15	crossed
0	3.34	crossed
0	1.03	fell
0	10.27	crossed
0	3.02	crossed
0	4.39	crossed
0	4.36	crossed
0	3.89	crossed
0	1.63	fell
0	12.78	crossed
0	3.43	crossed
0	1.72	crossed
0	1.84	crossed
0	0.79	fell
0	9.52	crossed
0	4.27	crossed
0	3.48	crossed
0	3.02	crossed
0	4.45	crossed
0	3.61	crossed
0	1.91	fell
0	9.39	crossed
0	1.97	crossed
0	0.79	fell
0	8.32	crossed
0	1.82	fell
0	12.24	crossed
0	2.04	crossed
0	1.86	crossed
0	2.63	crossed
0	1.96	crossed
0	1.4	fell
0	8.19	crossed
0	2.45	crossed
0	2.69	crossed
0	1.03	fell
0	8.54	crossed
0	2.63	crossed
0	1.47	fell
0	8.88	crossed
0	2.37	crossed
0	1.01	fell
0	8.86	crossed
0	0.84	fell
0	8.39	crossed
0	1.65	fell
0	8.98	crossed
0	2.68	crossed
0	2.7	crossed
0	1.49	fell
0	9.48	crossed
0	1.14	fell
0	9.0	crossed
0	0.99	fell
0	11.61	crossed
0	1.06	fell
0	9.48	crossed
0	2.27	crossed
0	2.41	crossed
0	2.64	crossed
0	2.43	crossed
0	2.28	crossed
49	3.69	crossed
49	1.61	caught
49	2.89	crossed
49	2.51	crossed
49	3.23	crossed
49	2.39	crossed
49	3.31	crossed
49	1.91	crossed
49	1.85	crossed
49	3.59	crossed
49	1.88	crossed
49	3.56	crossed
49	1.29	caught
49	1.2	crossed
49	1.94	crossed
49	2.62	crossed
49	3.26	crossed
49	1.42	caught
49	1.19	crossed
49	3.63	crossed
49	2.1	crossed
49	3.54	crossed
49	3.66	crossed
49	2.73	crossed
49	3.59	crossed
49	3.22	crossed
49	1.4	fell
49	10.41	crossed
49	1.27	fell
49	10.15	crossed
49	2.58	crossed
49	2.51	crossed
49	2.22	crossed
49	1.17	caught
49	2.21	crossed
49	2.83	crossed
49	3.46	crossed
49	2.05	caught
49	2.1	crossed
49	2.49	crossed
49	0.98	crossed
49	1.1	caught
49	0.82	crossed
49	1.14	caught
49	1.05	crossed
49	0.83	fell
49	9.86	crossed
49	1.0	crossed
49	1.12	fell
49	8.38	crossed
49	0.88	caught
49	1.01	crossed
49	0.87	caught
49	0.85	crossed
49	0.96	caught
49	0.77	crossed
49	0.97	caught
49	1.23	crossed
49	0.77	caught
49	0.98	crossed
49	0.91	caught
49	1.05	crossed
49	0.88	caught
49	1.25	crossed
49	0.81	caught
49	1.32	crossed
49	0.77	fell
49	7.95	crossed
49	1.19	fell
49	7.59	crossed
202	1.17	crossed
202	1.22	caught
202	0.74	crossed
202	1.16	caught
202	1.01	crossed
202	1.13	caught
202	0.81	crossed
202	1.01	caught
202	1.2	crossed
202	1.04	caught
202	1.13	crossed
202	0.82	caught
202	1.1	crossed
202	0.95	caught
202	1.34	crossed
202	1.05	caught
202	1.18	crossed
202	0.83	fell
202	7.75	crossed
202	1.2	caught
202	0.97	crossed
202	1.1	caught
202	0.97	crossed
202	1.26	caught
202	0.76	crossed
202	0.77	caught
202	0.99	crossed
202	1.3	caught
202	0.84	crossed
202	0.95	caught
202	1.22	crossed
202	0.75	caught
202	0.92	crossed
202	1.23	caught
202	1.22	crossed
202	0.78	caught
202	0.78	crossed
202	0.78	caught
202	1.19	crossed
202	1.0	caught
