asg	circle	hindrance	armor_use_to_clear
1	Bard Base	0	0
1	Cleric Base	0	0
1	Empath Base	0	0
1	Major Elemental	0	0
1	Major Mental	0	0
1	Major Spiritual	0	0
1	Minor Elemental	0	0
1	Minor Mental	0	0
1	Minor Spiritual	0	0
1	Paladin Base	0	0
1	Ranger Base	0	0
1	Sorcerer Base	0	0
1	Wizard Base	0	0
2	Bard Base	0	0
2	Cleric Base	0	0
2	Empath Base	0	0
2	Major Elemental	0	0
2	Major Mental	0	0
2	Major Spiritual	0	0
2	Minor Elemental	0	0
2	Minor Mental	0	0
2	Minor Spiritual	0	0
2	Paladin Base	0	0
2	Ranger Base	0	0
2	Sorcerer Base	0	0
2	Wizard Base	0	0
5	Bard Base	0	0
5	Cleric Base	0	0
5	Empath Base	0	0
5	Major Elemental	0	0
5	Major Mental	0	0
5	Major Spiritual	0	0
5	Minor Elemental	0	0
5	Minor Mental	0	0
5	Minor Spiritual	0	0
5	Paladin Base	0	0
5	Ranger Base	0	0
5	Sorcerer Base	0	0
5	Wizard Base	0	0
6	Bard Base	0	0
6	Cleric Base	0	0
6	Empath Base	0	0
6	Major Elemental	0	0
6	Major Mental	0	0
6	Major Spiritual	0	0
6	Minor Elemental	0	0
6	Minor Mental	0	0
6	Minor Spiritual	0	0
6	Paladin Base	0	0
6	Ranger Base	0	0
6	Sorcerer Base	0	0
6	Wizard Base	0	0
7	Bard Base	0	0
7	Cleric Base	0	0
7	Empath Base	0	0
7	Major Elemental	2	6
7	Major Mental	2	6
7	Major Spiritual	0	0
7	Minor Elemental	0	0
7	Minor Mental	0	0
7	Minor Spiritual	0	0
7	Paladin Base	0	0
7	Ranger Base	0	0
7	Sorcerer Base	1	2
7	Wizard Base	2	6
8	Bard Base	2	6
8	Cleric Base	0	0
8	Empath Base	0	0
8	Major Elemental	4	15
8	Major Mental	4	15
8	Major Spiritual	0	0
8	Minor Elemental	0	0
8	Minor Mental	2	6
8	Minor Spiritual	0	0
8	Paladin Base	0	0
8	Ranger Base	0	0
8	Sorcerer Base	2	6
8	Wizard Base	4	15
9	Bard Base	3	10
9	Cleric Base	4	15
9	Empath Base	4	15
9	Major Elemental	6	27
9	Major Mental	6	27
9	Major Spiritual	4	15
9	Minor Elemental	4	15
9	Minor Mental	4	15
9	Minor Spiritual	3	10
9	Paladin Base	2	6
9	Ranger Base	3	10
9	Sorcerer Base	5	20
9	Wizard Base	6	27
10	Bard Base	3	10
10	Cleric Base	5	20
10	Empath Base	5	20
10	Major Elemental	7	35
10	Major Mental	7	35
10	Major Spiritual	5	20
10	Minor Elemental	5	20
10	Minor Mental	5	20
10	Minor Spiritual	4	15
10	Paladin Base	3	10
10	Ranger Base	4	15
10	Sorcerer Base	6	27
10	Wizard Base	7	35
11	Bard Base	3	10
11	Cleric Base	6	27
11	Empath Base	6	27
11	Major Elemental	9	70
11	Major Mental	9	70
11	Major Spiritual	6	27
11	Minor Elemental	6	27
11	Minor Mental	6	27
11	Minor Spiritual	5	20
11	Paladin Base	4	15
11	Ranger Base	5	20
11	Sorcerer Base	8	50
11	Wizard Base	9	70
12	Bard Base	7	35
12	Cleric Base	7	35
12	Empath Base	7	35
12	Major Elemental	12	130
12	Major Mental	12	130
12	Major Spiritual	7	35
12	Minor Elemental	7	35
12	Minor Mental	7	35
12	Minor Spiritual	6	27
12	Paladin Base	5	20
12	Ranger Base	6	27
12	Sorcerer Base	11	110
12	Wizard Base	12	130
13	Bard Base	8	50
13	Cleric Base	8	50
13	Empath Base	8	50
13	Major Elemental	16	210
13	Major Mental	16	210
13	Major Spiritual	8	50
13	Minor Elemental	8	50
13	Minor Mental	6	50
13	Minor Spiritual	7	35
13	Paladin Base	6	27
13	Ranger Base	7	35
13	Sorcerer Base	16	210
13	Wizard Base	16	210
14	Bard Base	8	50
14	Cleric Base	9	70
14	Empath Base	9	70
14	Major Elemental	20	290
14	Major Mental	20	290
14	Major Spiritual	9	70
14	Minor Elemental	9	70
14	Minor Mental	9	70
14	Minor Spiritual	8	50
14	Paladin Base	7	35
14	Ranger Base	8	50
14	Sorcerer Base	18	250
14	Wizard Base	20	290
15	Bard Base	8	50
15	Cleric Base	11	110
15	Empath Base	11	110
15	Major Elemental	25	390
15	Major Mental	25	390
15	Major Spiritual	11	110
15	Minor Elemental	10	90
15	Minor Mental	10	90
15	Minor Spiritual	9	70
15	Paladin Base	8	50
15	Ranger Base	9	70
15	Sorcerer Base	22	330
15	Wizard Base	25	390
16	Bard Base	15	190
16	Cleric Base	14	170
16	Empath Base	14	190
16	Major Elemental	30	490
16	Major Mental	30	490
16	Major Spiritual	14	170
16	Minor Elemental	12	130
16	Minor Mental	15	190
16	Minor Spiritual	11	110
16	Paladin Base	9	70
16	Ranger Base	11	110
16	Sorcerer Base	26	410
16	Wizard Base	30	490
17	Bard Base	21	310
17	Cleric Base	25	390
17	Empath Base	25	390
17	Major Elemental	35	590
17	Major Mental	35	590
17	Major Spiritual	25	390
17	Minor Elemental	16	210
17	Minor Mental	21	310
17	Minor Spiritual	16	210
17	Paladin Base	10	90
17	Ranger Base	21	310
17	Sorcerer Base	29	470
17	Wizard Base	35	590
18	Bard Base	21	310
18	Cleric Base	28	450
18	Empath Base	28	450
18	Major Elemental	40	690
18	Major Mental	40	690
18	Major Spiritual	28	450
18	Minor Elemental	18	250
18	Minor Mental	21	310
18	Minor Spiritual	17	230
18	Paladin Base	11	110
18	Ranger Base	24	370
18	Sorcerer Base	33	550
18	Wizard Base	40	690
19	Bard Base	21	310
19	Cleric Base	32	530
19	Empath Base	32	530
19	Major Elemental	45	790
19	Major Mental	45	790
19	Major Spiritual	32	530
19	Minor Elemental	20	290
19	Minor Mental	21	310
19	Minor Spiritual	18	250
19	Paladin Base	12	130
19	Ranger Base	27	430
19	Sorcerer Base	39	570
19	Wizard Base	45	790
20	Bard Base	50	890
20	Cleric Base	45	850
20	Empath Base	45	790
20	Major Elemental	50	890
20	Major Mental	50	890
20	Major Spiritual	45	850
20	Minor Elemental	22	330
20	Minor Mental	50	890
20	Minor Spiritual	20	290
20	Paladin Base	13	150
20	Ranger Base	30	490
20	Sorcerer Base	48	850
20	Wizard Base	50	890
