noun	asg
aketon	7
aketon	8
arming coat	7
arming coat	8
arming doublet	6
arming doublet	7
armor	9
armor	10
armor	11
armor	12
attire	1
augmented breastplate	18
augmented chain	15
augmented chainmail	15
augmented plate	18
banded armor	12
body armor	16
body armor	20
bodysuit	8
breastplate	9
breastplate	17
breastplate	18
brigandine	12
brigandine armor	12
brigandine leather	12
brigandine shirt	9
brigandine shirt	10
buffcoat	5
buffcoat	6
byrnie	13
casting leather	5
casting leather	6
casting leathers	5
casting leathers	6
chain	13
chain	14
chain	15
chain	16
chain armor	13
chain armor	14
chain armor	15
chain armor	16
chain corslet	13
chain corslet	14
chain hauberk	16
chain mail	13
chain shirt	13
chain shirt	14
chain tunic	13
chain tunic	14
chainmail	13
chainmail	14
chainmail	15
chainmail	16
clothes	1
clothing	1
coat-of-plates	12
coracia	18
corselet	9
corselet	10
corselet	13
corselet	14
corslet	9
cuirass	9
cuirass	10
cuirass	17
cuirass	18
cuirboulli	10
cuirboulli leather	10
cuirboulli leathers	10
disc armor	17
double chain	14
double chainmail	14
double leather	8
double leathers	8
ensemble	1
field plate	20
field platemail	20
full leather	6
full leathers	6
full plate	20
full platemail	20
gambeson	7
gambeson	8
garb	1
garments	1
half plate	19
half-plate	19
haubergeon	14
haubergeon	15
hauberk	16
hunts	5
hunts	6
hunts	7
hunts	8
jack	5
jack	9
jack-of-plates	12
jazerant	14
jazerant	15
jazerant hauberk	16
jerkin	9
jerkin	10
kuyak	12
lamellar armor	12
lamellar corslet	10
lamellar leather	11
lamellar shirt	9
lamellar shirt	10
laminar armor	12
lasktol'zko	20
leather	5
leather	6
leather	7
leather	8
leather breastplate	9
leather corslet	10
leather cyclas	5
leather jerkin	5
leather pourpoint	6
leather shirt	5
leather shirt	6
leather tunic	5
leather vest	5
leathers	5
leathers	6
leathers	7
leathers	8
light leather	5
light leathers	5
mail	13
mail	14
mail	15
mail	16
metal breastplate	17
mirror armor	17
normal clothing	1
outfit	1
plate	19
plate	20
plate armor	17
plate armor	18
plate armor	19
plate armor	20
plate corselet	17
plate corselet	18
plate corslet	17
plate corslet	18
plate-and-mail	17
plate-and-mail	18
plate-and-mail	19
plate-and-mail	20
platemail	18
platemail	19
platemail	20
quilted leather	7
reinforced leather	7
reinforced leathers	7
ringmail	13
ringmail	14
ringmail	15
ringmail	16
robe	2
robes	2
scale	9
scale	10
scalemail	9
scalemail	10
scalemail	12
splint armor	12
splint leather	11
splint mail	12
splinted armor	12
splinted leather	11
splinted mail	12
studded leather	11
studded leathers	11
tunic	2
tunic	9
tunic	10
vestments	2
