asg	armor_group	type	base_name	base_weight	min_rt	action_penalty	normal_cva	magical_cva	hindrance_max
1	1	cloth	normal clothing	0	0	0	25	20	0
2	1	cloth	robes	8	0	0	25	20	0
5	2	leather	light leather	10	0	0	20	15	0
6	2	leather	full leather	13	1	-1	19	14	0
7	2	leather	reinforced leather	15	2	-5	18	13	4
8	2	leather	double leather	16	2	-6	17	12	6
9	3	scale	leather breastplate	16	3	-7	11	5	16
10	3	scale	cuirboulli leather	17	4	-8	10	4	20
11	3	scale	studded leather	20	5	-10	9	3	24
12	3	scale	brigandine armor	25	6	-12	8	2	28
13	4	chain	chain mail	25	7	-13	1	-6	40
14	4	chain	double chain	25	8	-14	0	-7	45
15	4	chain	augmented chain	26	8	-16	-1	-8	55
16	4	chain	chain hauberk	27	9	-18	-2	-9	60
17	5	plate	metal breastplate	23	9	-20	-10	-18	90
18	5	plate	augmented plate	25	10	-25	-11	-19	92
19	5	plate	half plate	50	11	-30	-12	-20	94
20	5	plate	full plate	75	12	-35	-13	-21	96
