Bresnahanini rolton	3
Illoke elder	86
Illoke jarl	89
Illoke mystic	62
Illoke shaman	67
Ilvari pixie	74
Ilvari sprite	73
Ithzir adept	96
Ithzir champion	102
Ithzir herald	93
Ithzir initiate	91
Ithzir janissary	92
Ithzir scout	89
Ithzir seer	97
Mistydeep siren	2
Neartofar orc	11
Sheruvian harbinger	63
Sheruvian initiate	37
Sheruvian monk	41
Vvrael destroyer	108
Vvrael warlock	84
Vvrael witch	80
agresh bear	16
agresh troll chieftain	20
agresh troll scout	14
agresh troll warrior	16
aivren	86
albino tomb spider	8
amaranthine kraken tentacle	113
ancient ghoul master	21
animated slush	54
arachne acolyte	23
arachne priest	26
arachne servant	21
arch wight	20
arctic manticore	29
arctic puma	15
arctic titan	36
arctic wolverine	24
ash guardian	87
ash hag	31
ashen patrician vampire	107
athletic dark-eyed incubus	68
baesrukha	42
banded rattlesnake	16
banshee	50
barghest	35
behemothic gorefrost golem	104
bent being	82
big ugly kobold	2
bighorn sheep	18
black bear	16
black boar	14
black forest ogre	60
black forest viper	59
black leopard	15
black panther	17
black rolton	1
black urgh	4
black-winged daggerbeak	1
blackened decaying tumbleweed	39
blazing red phoenix	90
bloated kiramon broodtender	112
blood eagle	7
bloody halfling cannibal	101
blubbery humpbacked merrow	111
bobcat	5
bog spectre	47
bog troll	35
bog wight	44
bog wraith	41
bone golem	8
bony Tenthsworn occultist	59
brackish bilge mass	104
brawny gigas shield-maiden	106
bristly black tapir	29
brown boar	14
brown gak	2
brown spinner	9
burly reiver	24
cadaverous tatterdemalion ghast	101
caedera	82
carceris	25
caribou	32
carrion worm	1
cave bear	21
cave gnoll	3
cave gnome	2
cave lizard	18
cave nipper	3
cave troll	16
cave worm	10
centaur	23
centaur ranger	23
chitinous kiramon myrmidon	102
cinder wasp	46
cloud sprite bully	32
cloud sprite meddler	27
cobra	4
cockatrice	6
coconut crab	2
cold guardian	34
colossal boreal undansormr	111
colossus vulture	34
cook's assistant	28
corpulent kresh ravager	106
cougar	22
coyote	5
crackling lightning fiend‎	79
crazed zombie	23
crested basilisk	22
crocodile	9
crystal crab	8
crystal golem	12
csetairi	81
cyclops	27
dark apparition	5
dark frosty plant	45
dark orc	12
dark panther	22
dark shambler	17
dark vortece	42
dark vysan	3
darken	28
darkly inked fetish master	104
darkwoode	13
death dirge	9
deathsworn fanatic	98
decaying Citadel guardsman	56
deranged sentry	13
desiccated half-krolvin strigoi	61
dhu goleras	78
direbear	64
disfigured hive thrall	104
dobrem	28
dreadnought raptor	43
dust beetle	36
dybbuk	48
earth elemental	82
eidolon	55
elder ghoul master	18
elder tree spirit	30
emaciated hierophant	66
enormous mosquito	22
enormous rift crawler	103
ethereal mage apprentice	54
ethereal triton psionicist	103
ethereal triton sentry	103
eyeless black valravn	112
fallen crusader	97
fanged goblin	2
fanged rodent	1
fanged viper	4
farlook	77
fenghai	23
festering taint	86
fire ant	1
fire cat	18
fire elemental	60
fire giant	36
fire guardian	16
fire mage	71
fire ogre	28
fire rat	16
fire salamander	3
fire sprite	64
firebird	85
firephantom	6
firethorn shoot	44
flayed gigas disciple	113
flesh golem	50
flickering mist-wreathed banshee	102
forest bendith	40
forest ogre	17
forest trali	44
forest trali shaman	46
forest troll	14
frenzied monk	27
frost giant	38
frostborne lich	110
frozen corpse	42
fulminating stormborn primordial	109
garish revenant buccaneer	108
gaudy phantasmic conjurer	106
gaunt feral selkie	57
gaunt spectral servant	44
ghost	2
ghost wolf	16
ghostly mara	32
ghostly pooka	33
ghostly warrior	18
ghoul master	16
giant albino scorpion	24
giant albino tomb spider	30
giant ant	1
giant fog beetle	32
giant hawk-owl	28
giant marmot	10
giant rat	1
giant veaba	17
giant weasel	14
gigantic lightning whelk	107
glacial morph	56
glistening cerebralite	100
gnarled being	82
gnoll guard	17
gnoll jarl	25
gnoll priest	20
gnoll ranger	15
gnoll thief	13
gnoll worker	10
goblin	2
great boar	10
great brown bear	14
great stag	13
greater bog troll	39
greater burrow orc	8
greater construct	96
greater earth elemental	88
greater faeroth	50
greater fetid corpse	42
greater ghoul	3
greater ice giant	46
greater ice spider	3
greater kappa	7
greater krynch	84
greater moor wight	39
greater orc	8
greater skayl	81
greater spider	8
greater vruul	75
greater water elemental	105
greenwing hornet	18
gremlock	84
grey orc	14
grey-plumed steelwing harpy	111
grifflet	64
grim gigas skald	105
grisly corpse hulk	55
grizzly bear	38
grutik savage	27
grutik shaman	29
haggard Veiki herald	85
hapless charmed corsair	105
heavily armored battle mastodon	102
hill troll	16
hisskra chieftain	34
hisskra shaman	33
hisskra warrior	30
hobgoblin	3
hobgoblin acolyte	7
hobgoblin shaman	7
hooded figure	30
horned basalt grotesque	105
horned vor'taz	48
huge air elemental	95
huge earth elemental	95
huge fire elemental	99
huge ice elemental	95
huge jungle toad	25
huge lava elemental	100
huge lightning elemental	100
huge mein golem	37
huge steam elemental	99
huge water elemental	95
hulking forest ape	31
humpbacked puma	15
hunch-backed dogmatist	70
hunter troll	30
ice elemental	63
ice golem	53
ice hound	24
ice skeleton	3
ice troll	29
ice wraith	45
immense gold-bristled hinterboar	102
infernal death knight	104
infernal lich	110
jungle feyling	24
jungle troll	26
jungle troll chieftain	30
kelp-tangled coral golem	109
ki-lin	28
kiramon defender	46
kiramon worker	40
kobold	1
kobold shepherd	3
krag dweller	72
krag yeti	70
krolvin corsair	38
krolvin mercenary	17
krolvin slaver	36
krolvin warfarer	25
krolvin warrior	19
krynch	31
large ogre	15
large ring-tailed lemur	20
large thorned shrub	48
lava golem	56
lava troll	34
leaper	6
lesser burrow orc	7
lesser construct	83
lesser faeroth	46
lesser fetid corpse	33
lesser frost shade	2
lesser ghoul	1
lesser griffin	69
lesser ice elemental	53
lesser ice giant	41
lesser minotaur	74
lesser moor wight	37
lesser mummy	6
lesser orc	6
lesser red orc	7
lesser shade	2
lesser stone gargoyle	27
lesser vruul	45
lesser wood sprite	30
lich qyn'arj	84
lithe veiled sentinel	96
lost soul	91
luminous arachnid	15
luminous spectre	34
magna vereri	72
magru	37
major glacei	47
major spider	20
mammoth arachnid	30
manticore	9
martial eagle	28
massive black boar	59
massive grahnk	20
massive pyrothag	58
massive troll king	63
mastodonic leopard	44
maw spore	33
mezic	33
milky-eyed drowned mariner	106
minor glacei	42
minotaur warrior	76
mist wraith	5
moaning phantom	2
moaning spirit	28
monastic lich	27
mongrel hobgoblin	5
mongrel kobold	4
mongrel troll	16
mongrel wolfhound	16
monkey	6
monstrous direwolf	67
moor eagle	35
moor hound	33
moor witch	34
mottled thrak	8
moulis	75
mountain goat	17
mountain lion	18
mountain ogre	16
mountain rolton	1
mountain snowcat	3
mountain troll	17
mud wasp	38
murky soul siphon	106
muscular supplicant	67
myklian	40
n'ecare	87
naisirc	75
nasty little gremlin	5
neartofar troll	15
necrotic snake	48
nedum vereri	18
night golem	5
night hound	24
night mare	43
nightmare steed	55
niirsha	23
niveous giant warg	104
nonomino	23
ogre warrior	20
pale crab	2
pale scaled shaper	102
pallid fog-cloaked kelpie	112
panther	15
patchwork flesh monstrosity	97
phantasma	42
phantasmal bestial swordsman	62
phantom	2
phosphorescent worm	16
plains lion	18
plains ogre	17
plains orc chieftain	21
plains orc scout	17
plains orc shaman	18
plains orc warrior	16
plumed cockatrice	13
polar bear	44
pra'eda	29
puma	15
putrefied Citadel herald	60
quivering sanguine ooze	107
rabid guard dog	10
rabid squirrel	2
raider orc	10
raving lunatic	77
red bear	16
red tsark	66
red-scaled thrak	48
reiver	24
relnak	3
revenant	4
ridge orc	4
ridgeback boar	15
roa'ter	41
roa'ter wormling	24
rock troll zombie	34
roiling crimson angargeist	110
rolton	1
rotting Citadel arbalester	58
rotting chimera	46
rotting corpse	32
rotting farmhand	32
rotting krolvin pirate	18
rotting woodsman	23
sabre-tooth tiger	53
sacristan spirit	25
sand beetle	33
sand devil	48
savage fork-tongued wendigo	105
scaly burgee	29
scaly needle-toothed trenchling	107
sea nymph	2
seeker	52
seething pestilent vision	70
seraceris	78
shadow mare	37
shadow steed	38
shadowy spectre	14
shambling lurk	97
shan bardess	62
shan cleric	42
shan empath	60
shan ranger	42
shan rogue	66
shan shaman	64
shan sorceress	58
shan warrior	42
shan wizard	42
shelfae chieftain	11
shelfae guard	7
shelfae soldier	7
shelfae warlord	18
shimmering fungus	35
shining winged disir	114
shrickhen	76
shriveled icy creeper	50
silverback orc	14
siren	96
siren lizard	42
skayl	54
skeletal giant	33
skeletal ice troll	31
skeletal lord	41
skeletal soldier	34
skeletal warhorse	37
skeleton	1
sleek black kiramon stalker	108
slimy little grub	1
smouldering skeletal dreadsteed	103
snow crone	36
snow leopard	27
snow madrinol	52
snow spectre	9
snowy cockatrice	6
soul golem	63
spectral black warhorse	35
spectral fisherman	6
spectral lord	36
spectral miner	40
spectral monk	25
spectral shade	35
spectral triton defender	98
spectral triton protector	98
spectral warrior	34
spectral woodsman	35
spectre	14
spiked cavern urchin	17
spotted gak	2
spotted gnarp	1
spotted leaper	4
spotted lynx	6
spotted velnalin	3
squamous reptilian mutant	109
steam dervish	84
steel golem	20
stone gargoyle	39
stone giant	58
stone mastiff	62
stone sentinel	53
stone troll	55
stooped being	82
stooped titan stormcaller	81
storm giant	39
storm griffin	73
storm hound	24
striped gak	3
striped relnak	3
striped warcat	20
stunted halfling bloodspeaker	103
supple Ivasian inciter	66
swamp hag	42
swamp troll	14
swirling spectre	37
tattooed gigas berserker	103
tawny brindlecat	13
tegursh sentry	30
tenebrific wraith shark	110
thrak	8
three-toed tegu	33
thunder troll	18
thyril	2
titan tempest tyrant	83
tomb troll	52
tomb troll necromancer	54
tomb wight	15
translucent kiramon strandweaver	110
tree spirit	26
tree viper	24
treekin druid	83
treekin warrior	80
triton assassin	96
triton brawler	98
triton combatant	98
triton dissembler	94
triton executioner	96
triton fanatic	100
triton magus	102
triton radical	100
triton warden	102
triton warlock	94
troglodyte	3
troll chieftain	27
troll wraith	35
tundra giant	34
tusked ursian	37
twisted being	82
undertaker bat	36
urgh	4
vaespilon	93
vapor hound	24
velnalin	3
vesperti	38
veteran reiver	24
vourkha	39
waern	49
wall guardian	11
war griffin	100
war troll	18
warped tree spirit	68
warrior shade	48
warthog	22
wasp nest	43
water elemental	92
water hound	24
water moccasin	4
water witch	5
water wyrd	35
werebear	10
whiptail	4
white vysan	3
wild hound	31
wind witch	16
wind wraith	61
winged viper	60
withered shadow-cloaked draugr	108
wolfshade	15
wolverine	24
wood sprite	38
wood wight	20
wooly mammoth	52
wraith	15
writhing frost-glazed vine	40
writhing icy bush	36
yeti	67
young grass snake	1
zombie	23
zombie rolton	1
