noun	base	skill
[metal] disc	discus	Thrown Weapons
[metal] knuckles	knuckle-duster	Brawling
acinaces	short sword	Edged Weapons
adze	battle axe	Two-Handed Weapons
ahlspiess	awl-pike	Polearm Weapons
aklys	cudgel	Blunt Weapons
alfange	dagger	Edged Weapons
angon	spear	Polearm Weapons
antler sword	short sword	Edged Weapons
arming sword	longsword	Edged Weapons
arrow	arrow	Ranged Weapons
asaya	runestaff	Runestaff
atgeir	halberd	Polearm Weapons
atlatl	spear	Polearm Weapons
awl-pike	awl-pike	Polearm Weapons
backslasher	short sword	Edged Weapons
backsword	backsword	Edged Weapons
baculus	cudgel	Blunt Weapons
badelaire	falchion	Edged Weapons
balestarius	battle axe	Two-Handed Weapons
ball and chain	ball and chain	Blunt Weapons
balta	handaxe	Edged Weapons
barbed claw	tiger-claw	Brawling
bardiche	halberd	Polearm Weapons
baselard	short sword	Edged Weapons
basilard	dagger	Edged Weapons
bastard sword	bastard sword	Edged Weapons
battle axe	battle axe	Two-Handed Weapons
battle hammer	maul	Two-Handed Weapons
battle-axe	battle axe	Two-Handed Weapons
battle-quoit	quoit	Thrown Weapons
battlesword	two-handed sword	Two-Handed Weapons
beaked axe	jeddart-axe	Polearm Weapons
bearded axe	battle axe	Two-Handed Weapons
beheading sword	two-handed sword	Two-Handed Weapons
bidenhander	two-handed sword	Two-Handed Weapons
bilbo	rapier	Edged Weapons
bill	halberd	Polearm Weapons
binnol	ball and chain	Blunt Weapons
bisacuta	military pick	Two-Handed Weapons
blackjack	blackjack	Brawling
bladed claw	troll-claw	Brawling
bladed wheel	quoit	Thrown Weapons
bladed-disc	quoit	Thrown Weapons
bladed-ring	quoit	Thrown Weapons
bladestaff	naginata	Polearm Weapons
bludgeon	blackjack	Brawling
bo stick	quarterstaff	Two-Handed Weapons
boar spear	spear	Polearm Weapons
boarding axe	handaxe	Edged Weapons
bodice dagger	dagger	Edged Weapons
bodkin	dagger	Edged Weapons
bola	bola	Thrown Weapons
bolas	bola	Thrown Weapons
boleadoras	bola	Thrown Weapons
boot dagger	dagger	Edged Weapons
bovai	hammer of kai	Polearm Weapons
bracelet dagger	dagger	Edged Weapons
brandestoc	halberd	Polearm Weapons
braquemar	short sword	Edged Weapons
breach pike	awl-pike	Polearm Weapons
broad axe	handaxe	Edged Weapons
broadsword	broadsword	Edged Weapons
bulawa	mace	Blunt Weapons
bullwhip	leather whip	Blunt Weapons
butcher knife	dagger	Edged Weapons
carp's tongue	broadsword	Edged Weapons
carp's-tongue	broadsword	Edged Weapons
cat o' nine tails	leather whip	Blunt Weapons
cateia	spear	Polearm Weapons
cestus	cestus	Brawling
chakram	quoit	Thrown Weapons
charl's-tail	scimitar	Edged Weapons
chereb	short sword	Edged Weapons
chest-ripper	awl-pike	Polearm Weapons
cinquedea	dagger	Edged Weapons
claidhmore	claidhmore	Two-Handed Weapons
cleaver	handaxe	Edged Weapons
club	cudgel	Blunt Weapons
colichemarde	rapier	Edged Weapons
composite bow	composite bow	Ranged Weapons
composite recurve bow	composite bow	Ranged Weapons
contus	javelin	Polearm Weapons
coustille	short sword	Edged Weapons
craquemarte	falchion	Edged Weapons
crescent axe	handaxe	Edged Weapons
crescent dagger	dagger	Edged Weapons
cresset sword	bastard sword	Edged Weapons
croc	halberd	Polearm Weapons
crook	runestaff	Runestaff
crosier	runestaff	Runestaff
crowbill	crowbill	Blunt Weapons
cudgel	cudgel	Blunt Weapons
cutlass	scimitar	Edged Weapons
cz'pulct	handaxe	Edged Weapons
dagger	dagger	Edged Weapons
dart	dart	Thrown Weapons
dhara	mace	Blunt Weapons
dirk	dagger	Edged Weapons
disackn	scimitar	Edged Weapons
discus	discus	Thrown Weapons
doloire	battle axe	Two-Handed Weapons
dory (restricted)	spear	Polearm Weapons
double-bit axe	handaxe	Edged Weapons
epee	rapier	Edged Weapons
espadon	bastard sword	Edged Weapons
estoc	estoc	Edged Weapons
executioner's axe	battle axe	Two-Handed Weapons
executioner's sword	two-handed sword	Two-Handed Weapons
falarica	spear	Polearm Weapons
falcastra	halberd	Polearm Weapons
falcata	falchion	Edged Weapons
falchion	falchion	Edged Weapons
falx	two-handed sword	Two-Handed Weapons
fang	war hammer	Blunt Weapons
fantail dagger	dagger	Edged Weapons
fauchard	halberd	Polearm Weapons
field-axe	handaxe	Edged Weapons
fillet knife	dagger	Edged Weapons
fist-scythe	fist-scythe	Brawling
flail	flail	Two-Handed Weapons
flamberge	flamberge	Two-Handed Weapons
flanged mace	mace	Blunt Weapons
fleuret	rapier	Edged Weapons
flyssa	broadsword	Edged Weapons
foil	rapier	Edged Weapons
footman's hammer	maul	Two-Handed Weapons
forked dagger	dagger	Edged Weapons
framea	lance	Polearm Weapons
francisca	handaxe	Edged Weapons
fuscina	trident	Polearm Weapons
gaesum	spear	Polearm Weapons
gaizaz	spear	Polearm Weapons
gauntlet-sword	katar	Brawling
gimlet knife	dagger	Edged Weapons
gladius	short sword	Edged Weapons
gladius graecus	short sword	Edged Weapons
glaive	halberd	Polearm Weapons
godendag	halberd	Polearm Weapons
goliah	broadsword	Edged Weapons
goupillon	ball and chain	Blunt Weapons
